(-7492.99978895, 9967.22999947, 1893.81356549)
(-7492.94843812, 9967.23009965, 1893.8140463)
(-7492.89516228, 9967.23017339, 1893.81367345)
(-7492.8220669, 9967.23036467, 1893.81356398)
(-7492.76093469, 9967.23043069, 1893.81356385)
(-7492.68782584, 9967.23047692, 1893.81356401)
(-7492.62546874, 9967.23068527, 1893.81356394)
(-7492.56682597, 9967.23092812, 1893.813564)
(-7492.49248868, 9967.2312691, 1893.81356398)
(-7492.42969658, 9967.23410235, 1893.81356396)
(-7492.35461748, 9967.2381237, 1893.81356395)
(-7492.28777627, 9967.24077096, 1893.81356398)
(-7492.20729446, 9967.24377152, 1893.81356397)
(-7492.1495548, 9967.24648456, 1893.81356397)
(-7492.08933762, 9967.24930426, 1893.81356398)
(-7492.00930016, 9967.25292358, 1893.81356397)
(-7491.94824275, 9967.25573874, 1893.81356398)
(-7491.87274547, 9967.25926039, 1893.81356398)
(-7491.81664204, 9967.26193294, 1893.81356398)
(-7491.74692576, 9967.26529434, 1893.81356398)
(-7491.67926623, 9967.26850066, 1893.81356397)
(-7491.60460002, 9967.27213169, 1893.81356398)
(-7491.54601814, 9967.27493899, 1893.81356398)
(-7491.47877608, 9967.27821048, 1893.81356398)
(-7491.41978213, 9967.28105301, 1893.81356398)
(-7491.35955243, 9967.28398179, 1893.81356398)
(-7491.27456939, 9967.28809684, 1893.81356398)
(-7491.17598304, 9967.29301897, 1893.81356398)
(-7491.10255259, 9967.29662954, 1893.81356398)
(-7491.02169746, 9967.30060091, 1893.81356398)
(-7490.95280535, 9967.30398324, 1893.81356398)
(-7490.87153747, 9967.30797149, 1893.81356398)
(-7490.81007098, 9967.31098778, 1893.81356398)
(-7490.73004048, 9967.31491296, 1893.81356398)
(-7490.65166043, 9967.31875788, 1893.81356398)
(-7490.55595395, 9967.32344214, 1893.81356398)
(-7490.48747453, 9967.3267983, 1893.81356398)
(-7490.40991887, 9967.33057883, 1893.81356398)
(-7490.3542278, 9967.33330363, 1893.81356398)
(-7490.28327242, 9967.3367674, 1893.81356398)
(-7490.22304335, 9967.33971257, 1893.81356398)
(-7490.15868807, 9967.34285495, 1893.81356398)
(-7490.07535313, 9967.34686984, 1893.81356398)
(-7490.00769789, 9967.35015826, 1893.81356398)
(-7489.93550379, 9967.353666, 1893.81356398)
(-7489.87774904, 9967.3564736, 1893.81356398)
(-7489.80926794, 9967.35980264, 1893.81356398)
(-7489.74491255, 9967.36293203, 1893.81356398)
(-7489.67890677, 9967.36614179, 1893.81356398)
(-7489.59144915, 9967.37039416, 1893.81356398)
(-7489.52668123, 9967.37354433, 1893.81356398)
(-7489.46150064, 9967.37671486, 1893.81356398)
(-7489.40250815, 9967.37958469, 1893.81356398)
(-7489.33196467, 9967.38301693, 1893.81356398)
(-7489.26884676, 9967.38608797, 1893.81356398)
(-7489.20655402, 9967.38911926, 1893.81356398)
(-7489.13889838, 9967.39241243, 1893.81356398)
(-7489.08444362, 9967.39506264, 1893.81356398)
(-7489.01637547, 9967.39837589, 1893.81356398)
(-7488.95284498, 9967.40146796, 1893.81356398)
(-7488.88353931, 9967.40484175, 1893.81356398)
(-7488.79731979, 9967.40904111, 1893.81356398)
(-7488.73502686, 9967.41207386, 1893.81356398)
(-7488.66407118, 9967.41552962, 1893.81356398)
(-7488.60796625, 9967.41826137, 1893.81356398)
(-7488.52999745, 9967.42205867, 1893.81356398)
(-7488.4701797, 9967.42497122, 1893.81356398)
(-7488.40706212, 9967.42804515, 1893.81356398)
(-7488.33775676, 9967.43142296, 1893.81356398)
(-7488.27670122, 9967.43439691, 1893.81356398)
(-7488.20327044, 9967.43797454, 1893.81356398)
(-7488.13850228, 9967.44112889, 1893.81356398)
(-7488.07249711, 9967.44434453, 1893.81356398)
(-7488.00360488, 9967.44771387, 1893.81356398)
(-7487.94461205, 9967.45059136, 1893.81356398)
(-7487.86994395, 9967.45423425, 1893.81356398)
(-7487.81012628, 9967.45715133, 1893.81356398)
(-7487.74164604, 9967.46049159, 1893.81356398)
(-7487.67646568, 9967.46367069, 1893.81356398)
(-7487.59973497, 9967.46741569, 1893.81356398)
(-7487.54156741, 9967.47025284, 1893.81356398)
(-7487.4640116, 9967.47403691, 1893.81356398)
(-7487.40790679, 9967.47677309, 1893.81356398)
(-7487.34148924, 9967.48001297, 1893.81356398)
(-7487.28084676, 9967.48297092, 1893.81356398)
(-7487.19916573, 9967.48695758, 1893.81356398)
(-7487.13811046, 9967.48993586, 1893.81356398)
(-7487.06633005, 9967.49343835, 1893.81356398)
(-7487.00774998, 9967.49629549, 1893.81356398)
(-7486.93555696, 9967.49981735, 1893.81356398)
(-7486.86336359, 9967.50333898, 1893.81356398)
(-7486.79529566, 9967.50665906, 1893.81356398)
(-7486.72227786, 9967.51022341, 1893.81356398)
(-7486.66081005, 9967.51322196, 1893.81356398)
(-7486.59645525, 9967.51636222, 1893.81356398)
(-7486.53044966, 9967.51958165, 1893.81356398)
(-7486.46238196, 9967.52290246, 1893.81356398)
(-7486.3984393, 9967.52602166, 1893.81356398)
(-7486.34068503, 9967.52884051, 1893.81356398)
(-7486.27509182, 9967.53204015, 1893.81356398)
(-7486.20826179, 9967.53530081, 1893.81356398)
(-7486.14184369, 9967.53854023, 1893.81356398)
(-7486.08037655, 9967.54153875, 1893.81356398)
(-7486.00900885, 9967.5450232, 1893.81356398)
(-7485.95290392, 9967.54776044, 1893.81356398)
(-7485.87246031, 9967.55168577, 1893.81356398)
(-7485.81511797, 9967.55448288, 1893.81356398)
(-7485.73426178, 9967.55842782, 1893.81356398)
(-7485.67114418, 9967.56150716, 1893.81356398)
(-7485.5944134, 9967.56525272, 1893.81356398)
(-7485.5362459, 9967.5680905, 1893.81356398)
(-7485.464053, 9967.57161353, 1893.81356398)
(-7485.39227199, 9967.57511492, 1893.81356398)
(-7485.32626705, 9967.57833543, 1893.81356398)
(-7485.25407353, 9967.58185677, 1893.81356398)
(-7485.16455433, 9967.58622434, 1893.81356398)
(-7485.09937464, 9967.58940935, 1893.81356398)
(-7485.05152035, 9967.59174483, 1893.81356398)
(-7484.95168777, 9967.59661758, 1893.81356398)
(-7484.85721762, 9967.60122694, 1893.81356398)
(-7484.7462468, 9967.60664507, 1893.81356398)
(-7484.67652835, 9967.6100467, 1893.81356398)
(-7484.55813163, 9967.61582404, 1893.81356398)
(-7484.4702621, 9967.62011059, 1893.81356398)
(-7484.38198048, 9967.62441973, 1893.81356398)
(-7484.31102464, 9967.6278817, 1893.81356398)
(-7484.22109275, 9967.63227124, 1893.81356398)
(-7484.15054944, 9967.63571301, 1893.81356398)
(-7484.08041913, 9967.63913587, 1893.81356398)
(-7484.02142672, 9967.64201394, 1893.81356398)
(-7483.94552095, 9967.64571782, 1893.81356398)
(-7483.879103, 9967.64895795, 1893.81356398)
(-7483.80897258, 9967.65237971, 1893.81356398)
(-7483.73966703, 9967.65576104, 1893.81356398)
(-7483.68315004, 9967.65851827, 1893.81356398)
(-7483.59981865, 9967.66258498, 1893.81356398)
(-7483.53298816, 9967.66584537, 1893.81356398)
(-7483.46285771, 9967.66926752, 1893.81356398)
(-7483.3968523, 9967.67248744, 1893.81356398)
(-7483.32878457, 9967.67580847, 1893.81356398)
(-7483.26071653, 9967.67912883, 1893.81356398)
(-7483.19512397, 9967.68232885, 1893.81356398)
(-7483.11138004, 9967.68641613, 1893.81356398)
(-7483.04743727, 9967.68953568, 1893.81356398)
(-7482.9826698, 9967.69269605, 1893.81356398)
(-7482.92615262, 9967.69545316, 1893.81356398)
(-7482.85230935, 9967.69905581, 1893.81356398)
(-7482.77227792, 9967.70296022, 1893.81356398)
(-7482.70173487, 9967.70640164, 1893.81356398)
(-7482.63407973, 9967.70970342, 1893.81356398)
(-7482.57715001, 9967.71248083, 1893.81356398)
(-7482.50165668, 9967.71616429, 1893.81356398)
(-7482.43730142, 9967.71930363, 1893.81356398)
(-7482.36717098, 9967.72272517, 1893.81356398)
(-7482.30322836, 9967.72584465, 1893.81356398)
(-7482.24052339, 9967.7289036, 1893.81356398)
(-7482.1658551, 9967.73254713, 1893.81356398)
(-7482.10356245, 9967.73558602, 1893.81356398)
(-7482.02971923, 9967.73918882, 1893.81356398)
(-7481.9744397, 9967.74188545, 1893.81356398)
(-7481.90967218, 9967.74504514, 1893.81356398)
(-7481.84366691, 9967.74826507, 1893.81356398)
(-7481.76652344, 9967.75202918, 1893.81356398)
(-7481.69763033, 9967.75538993, 1893.81356398)
(-7481.63121269, 9967.75863044, 1893.81356398)
(-7481.56933264, 9967.76164899, 1893.81356398)
(-7481.50539013, 9967.76476843, 1893.81356398)
(-7481.44268509, 9967.76782734, 1893.81356398)
(-7481.3680168, 9967.77147065, 1893.81356398)
(-7481.30077381, 9967.77475093, 1893.81356398)
(-7481.22569299, 9967.77841408, 1893.81356398)
(-7481.16175032, 9967.78153321, 1893.81356398)
(-7481.09161986, 9967.78495458, 1893.81356398)
(-7481.02561458, 9967.78817459, 1893.81356398)
(-7480.96620985, 9967.79107249, 1893.81356398)
(-7480.88535359, 9967.79501766, 1893.81356398)
(-7480.81687299, 9967.7983583, 1893.81356398)
(-7480.7450924, 9967.80186039, 1893.81356398)
(-7480.69105046, 9967.80449664, 1893.81356398)
(-7480.62133251, 9967.80789781, 1893.81356398)
(-7480.55904004, 9967.81093664, 1893.81356398)
(-7480.48230913, 9967.81468057, 1893.81356398)
(-7480.41547872, 9967.81794075, 1893.81356398)
(-7480.34576078, 9967.82134221, 1893.81356398)
(-7480.28429329, 9967.82434066, 1893.81356398)
(-7480.22200093, 9967.8273796, 1893.81356398)
(-7480.16383376, 9967.83021718, 1893.81356398)
(-7480.09040304, 9967.83379994, 1893.81356398)
(-7480.02604778, 9967.83693933, 1893.81356398)
(-7479.95261703, 9967.8405218, 1893.81356398)
(-7479.89527487, 9967.84331897, 1893.81356398)
(-7479.83587025, 9967.84621693, 1893.81356398)
(-7479.75542655, 9967.85014219, 1893.81356398)
(-7479.68859609, 9967.85340241, 1893.81356398)
(-7479.62011578, 9967.85674346, 1893.81356398)
(-7479.55163522, 9967.86008401, 1893.81356398)
(-7479.47201647, 9967.86396826, 1893.81356398)
(-7479.41426179, 9967.8667855, 1893.81356398)
(-7479.33505555, 9967.87064946, 1893.81356398)
(-7479.244711, 9967.875058, 1893.81356398)
(-7479.19025656, 9967.87771453, 1893.81356398)
(-7479.0941366, 9967.88240432, 1893.81356398)
(-7479.03060647, 9967.88550353, 1893.81356398)
(-7478.92706088, 9967.89055558, 1893.81356398)
(-7478.84455424, 9967.89458045, 1893.81356398)
(-7478.75585985, 9967.89890826, 1893.81356398)
(-7478.70223047, 9967.90152451, 1893.81356398)
(-7478.62962481, 9967.90506693, 1893.81356398)
(-7478.55454371, 9967.90872951, 1893.81356398)
(-7478.46873701, 9967.91291581, 1893.81356398)
(-7478.4089197, 9967.91583374, 1893.81356398)
(-7478.34126443, 9967.9191343, 1893.81356398)
(-7478.27897189, 9967.92217293, 1893.81356398)
(-7478.19357768, 9967.92633869, 1893.81356398)
(-7478.12963503, 9967.92945775, 1893.81356398)
(-7478.06899276, 9967.93241599, 1893.81356398)
(-7477.99721215, 9967.93591824, 1893.81356398)
(-7477.93368196, 9967.93901734, 1893.81356398)
(-7477.86066372, 9967.94257952, 1893.81356398)
(-7477.80620932, 9967.94523578, 1893.81356398)
(-7477.72906578, 9967.94899901, 1893.81356398)
(-7477.66512319, 9967.95211822, 1893.81356398)
(-7477.58674207, 9967.95594232, 1893.81356398)
(-7477.530225, 9967.9586993, 1893.81356398)
(-7477.46504489, 9967.96187912, 1893.81356398)
(-7477.40398996, 9967.96485735, 1893.81356398)
(-7477.33097169, 9967.96841933, 1893.81356398)
(-7477.27940506, 9967.97093481, 1893.81356398)
(-7477.20061135, 9967.97477889, 1893.81356398)
(-7477.13996895, 9967.97773706, 1893.81356398)
(-7477.06323794, 9967.9814803, 1893.81356398)
(-7477.00218305, 9967.98445851, 1893.81356398)
(-7476.93122747, 9967.98791987, 1893.81356398)
(-7476.87306033, 9967.99075732, 1893.81356398)
(-7476.79591679, 9967.99452093, 1893.81356398)
(-7476.72537361, 9967.99796207, 1893.81356398)
(-7476.64492979, 9968.00188654, 1893.81356398)
(-7476.57851191, 9968.00512643, 1893.81356398)
(-7476.52447017, 9968.00776276, 1893.81356398)
(-7476.4592899, 9968.01094221, 1893.81356398)
(-7476.39699752, 9968.01398089, 1893.81356398)
(-7476.32769212, 9968.01736218, 1893.81356398)
(-7476.26416199, 9968.02046125, 1893.81356398)
(-7476.19856935, 9968.02366106, 1893.81356398)
(-7476.1408147, 9968.02647829, 1893.81356398)
(-7476.07810976, 9968.02953709, 1893.81356398)
(-7475.99807849, 9968.03344167, 1893.81356398)
(-7475.93496087, 9968.03652065, 1893.81356398)
(-7475.86111754, 9968.04012302, 1893.81356398)
(-7475.80418794, 9968.04290005, 1893.81356398)
(-7475.73818274, 9968.0461199, 1893.81356398)
(-7475.67836548, 9968.04903785, 1893.81356398)
(-7475.59998435, 9968.05286174, 1893.81356398)
(-7475.53851692, 9968.05586018, 1893.81356398)
(-7475.46921147, 9968.05924114, 1893.81356398)
(-7475.40898163, 9968.06217914, 1893.81356398)
(-7475.34833936, 9968.06513737, 1893.81356398)
(-7475.26830807, 9968.06904201, 1893.81356398)
(-7475.21137845, 9968.07181913, 1893.81356398)
(-7475.14331058, 9968.07513973, 1893.81356398)
(-7475.08184312, 9968.07813812, 1893.81356398)
(-7475.01748806, 9968.08127749, 1893.81356398)
(-7474.95437054, 9968.08435644, 1893.81356398)
(-7474.87887714, 9968.08803942, 1893.81356398)
(-7474.81905984, 9968.09095737, 1893.81356398)
(-7474.74892932, 9968.09437859, 1893.81356398)
(-7474.69076214, 9968.09721599, 1893.81356398)
(-7474.62393187, 9968.10047607, 1893.81356398)
(-7474.55091365, 9968.10403849, 1893.81356398)
(-7474.49439655, 9968.10679553, 1893.81356398)
(-7474.42055321, 9968.11039786, 1893.81356398)
(-7474.3619735, 9968.11325538, 1893.81356398)
(-7474.29473071, 9968.11653559, 1893.81356398)
(-7474.2316132, 9968.11961454, 1893.81356398)
(-7474.16065765, 9968.12307612, 1893.81356398)
(-7474.09877768, 9968.12609468, 1893.81356398)
(-7474.03566022, 9968.12917373, 1893.81356398)
(-7473.97708051, 9968.13203125, 1893.81356398)
(-7473.91066277, 9968.13527118, 1893.81356398)
(-7473.82650613, 9968.13937694, 1893.81356398)
(-7473.75967573, 9968.14263701, 1893.81356398)
(-7473.68748254, 9968.14615889, 1893.81356398)
(-7473.62642764, 9968.14913718, 1893.81356398)
(-7473.55299687, 9968.1527193, 1893.81356398)
(-7473.49029186, 9968.15577804, 1893.81356398)
(-7473.42139895, 9968.15913872, 1893.81356398)
(-7473.35126844, 9968.16256019, 1893.81356398)
(-7473.25514824, 9968.16724898, 1893.81356398)
(-7473.14912737, 9968.17242132, 1893.81356398)
(-7473.05300718, 9968.1771102, 1893.81356398)
(-7472.95193678, 9968.18204164, 1893.81356398)
(-7472.8702552, 9968.18602615, 1893.81356398)
(-7472.76423436, 9968.19119824, 1893.81356398)
(-7472.68172779, 9968.19522295, 1893.81356398)
(-7472.59097065, 9968.19965063, 1893.81356398)
(-7472.50681391, 9968.20375589, 1893.81356398)
(-7472.43338313, 9968.20733836, 1893.81356398)
(-7472.3723282, 9968.2103167, 1893.81356398)
(-7472.31168587, 9968.21327482, 1893.81356398)
(-7472.23165456, 9968.217179, 1893.81356398)
(-7472.15616105, 9968.22086157, 1893.81356398)
(-7472.07860494, 9968.22464497, 1893.81356398)
(-7472.02580072, 9968.22722075, 1893.81356398)
(-7471.96928376, 9968.22997771, 1893.81356398)
(-7471.90327848, 9968.23319739, 1893.81356398)
(-7471.83314794, 9968.23661837, 1893.81356398)
(-7471.74569101, 9968.2408849, 1893.81356398)
(-7471.67267264, 9968.24444677, 1893.81356398)
(-7471.59965437, 9968.2480088, 1893.81356398)
(-7471.55056293, 9968.2504035, 1893.81356398)
(-7471.48001988, 9968.25384467, 1893.81356398)
(-7471.40947678, 9968.25728581, 1893.81356398)
(-7471.33934623, 9968.26070679, 1893.81356398)
(-7471.26839064, 9968.26416828, 1893.81356398)
(-7471.21517387, 9968.26676422, 1893.81356398)
(-7471.14669346, 9968.27010482, 1893.81356398)
(-7471.07821297, 9968.27344527, 1893.81356398)
(-7471.01344533, 9968.2766047, 1893.81356398)
(-7470.94001453, 9968.28018703, 1893.81356398)
(-7470.87937215, 9968.28314522, 1893.81356398)
(-7470.8051163, 9968.28676758, 1893.81356398)
(-7470.74736169, 9968.28958486, 1893.81356398)
(-7470.67970637, 9968.29288516, 1893.81356398)
(-7470.61576379, 9968.29600432, 1893.81356398)
(-7470.54274554, 9968.29956643, 1893.81356398)
(-7470.47632771, 9968.30280633, 1893.81356398)
(-7470.40289691, 9968.30638845, 1893.81356398)
(-7470.33565401, 9968.30966856, 1893.81356398)
(-7470.27088637, 9968.31282802, 1893.81356398)
(-7470.21684454, 9968.31546416, 1893.81356398)
(-7470.15166439, 9968.31864366, 1893.81356398)
(-7470.07080802, 9968.32258815, 1893.81356398)
(-7470.01140328, 9968.32548593, 1893.81356398)
(-7469.93755996, 9968.32908814, 1893.81356398)
(-7469.88104295, 9968.33184501, 1893.81356398)
(-7469.8133876, 9968.3351453, 1893.81356398)
(-7469.75109513, 9968.33818396, 1893.81356398)
(-7469.67683926, 9968.34180638, 1893.81356398)
(-7469.61825955, 9968.34466392, 1893.81356398)
(-7469.54441619, 9968.34826612, 1893.81356398)
(-7469.48624904, 9968.3511035, 1893.81356398)
(-7469.41570597, 9968.35454463, 1893.81356398)
(-7469.33732481, 9968.35836843, 1893.81356398)
(-7469.27626994, 9968.36134674, 1893.81356398)
(-7469.20490181, 9968.36482824, 1893.81356398)
(-7469.1421968, 9968.36788702, 1893.81356398)
(-7469.06752839, 9968.37152945, 1893.81356398)
(-7469.00853617, 9968.37440708, 1893.81356398)
(-7468.9421184, 9968.37764699, 1893.81356398)
(-7468.87116277, 9968.38110848, 1893.81356398)
(-7468.80226975, 9968.38446911, 1893.81356398)
(-7468.74822799, 9968.38710535, 1893.81356398)
(-7468.68016007, 9968.3904257, 1893.81356398)
(-7468.61786767, 9968.39346437, 1893.81356398)
(-7468.53494863, 9968.3975095, 1893.81356398)
(-7468.47636895, 9968.40036706, 1893.81356398)
(-7468.40953867, 9968.40362717, 1893.81356398)
(-7468.35343418, 9968.40636397, 1893.81356398)
(-7468.27010256, 9968.41042898, 1893.81356398)
(-7468.1954341, 9968.41407137, 1893.81356398)
(-7468.11746539, 9968.41787473, 1893.81356398)
(-7468.062186, 9968.42057128, 1893.81356398)
(-7467.99618081, 9968.4237912, 1893.81356398)
(-7467.93512595, 9968.42676948, 1893.81356398)
(-7467.85550716, 9968.4306534, 1893.81356398)
(-7467.7956899, 9968.43357128, 1893.81356398)
(-7467.72349668, 9968.43709294, 1893.81356398)
(-7467.66739222, 9968.43982976, 1893.81356398)
(-7467.58406061, 9968.44389491, 1893.81356398)
(-7467.52383078, 9968.44683296, 1893.81356398)
(-7467.43843651, 9968.45099865, 1893.81356398)
(-7467.3782067, 9968.45393668, 1893.81356398)
(-7467.30147564, 9968.45767973, 1893.81356398)
(-7467.23877067, 9968.46073847, 1893.81356398)
(-7467.17152785, 9968.46401863, 1893.81356398)
(-7467.08365843, 9968.46830525, 1893.81356398)
(-7466.99702651, 9968.47253124, 1893.81356398)
(-7466.92070798, 9968.47625435, 1893.81356398)
(-7466.83201339, 9968.48058095, 1893.81356398)
(-7466.75280709, 9968.48444493, 1893.81356398)
(-7466.69711515, 9968.4871616, 1893.81356398)
(-7466.59810734, 9968.49199145, 1893.81356398)
(-7466.52550158, 9968.49553321, 1893.81356398)
(-7466.41288019, 9968.50102722, 1893.81356398)
(-7466.32624829, 9968.5052532, 1893.81356398)
(-7466.24786705, 9968.50907662, 1893.81356398)
(-7466.1855746, 9968.51211532, 1893.81356398)
(-7466.13235784, 9968.51471123, 1893.81356398)
(-7466.06346486, 9968.51807185, 1893.81356398)
(-7465.97807061, 9968.52223761, 1893.81356398)
(-7465.91412801, 9968.52535676, 1893.81356398)
(-7465.83203404, 9968.52936144, 1893.81356398)
(-7465.76932906, 9968.5324202, 1893.81356398)
(-7465.69837344, 9968.5358815, 1893.81356398)
(-7465.6414439, 9968.53865851, 1893.81356398)
(-7465.57997653, 9968.54165692, 1893.81356398)
(-7465.51108358, 9968.54501771, 1893.81356398)
(-7465.45002868, 9968.54799601, 1893.81356398)
(-7465.37494771, 9968.55165854, 1893.81356398)
(-7465.3184307, 9968.55441544, 1893.81356398)
(-7465.24912522, 9968.5577962, 1893.81356398)
(-7465.176932, 9968.56131781, 1893.81356398)
(-7465.10102602, 9968.56502066, 1893.81356398)
(-7465.04038369, 9968.56797884, 1893.81356398)
(-7464.98015393, 9968.57091693, 1893.81356398)
(-7464.91868652, 9968.57391531, 1893.81356398)
(-7464.86505727, 9968.57653138, 1893.81356398)
(-7464.79905204, 9968.57975128, 1893.81356398)
(-7464.72850889, 9968.58319241, 1893.81356398)
(-7464.64146447, 9968.58743854, 1893.81356398)
(-7464.57875948, 9968.59049729, 1893.81356398)
(-7464.52017986, 9968.59335486, 1893.81356398)
(-7464.46861327, 9968.59587031, 1893.81356398)
(-7464.37950624, 9968.60021712, 1893.81356398)
(-7464.31597618, 9968.60331615, 1893.81356398)
(-7464.23181952, 9968.60742144, 1893.81356398)
(-7464.17323984, 9968.61027898, 1893.81356398)
(-7464.10063408, 9968.61382077, 1893.81356398)
(-7464.04494212, 9968.61653744, 1893.81356398)
(-7463.97852434, 9968.61977733, 1893.81356398)
(-7463.90014313, 9968.62360096, 1893.81356398)
(-7463.83290029, 9968.6268811, 1893.81356398)
(-7463.76070709, 9968.63040279, 1893.81356398)
(-7463.70377757, 9968.63317983, 1893.81356398)
(-7463.64231021, 9968.63617826, 1893.81356398)
(-7463.5767175, 9968.63937791, 1893.81356398)
(-7463.49916136, 9968.64316126, 1893.81356398)
(-7463.43893154, 9968.6460993, 1893.81356398)
(-7463.36013778, 9968.64994298, 1893.81356398)
(-7463.30114556, 9968.65282064, 1893.81356398)
(-7463.2334902, 9968.65612092, 1893.81356398)
(-7463.16707242, 9968.65936082, 1893.81356398)
(-7463.10395493, 9968.66243971, 1893.81356398)
(-7463.03052413, 9968.66602179, 1893.81356398)
(-7462.96616902, 9968.66916106, 1893.81356398)
(-7462.88572515, 9968.67308521, 1893.81356398)
(-7462.82714549, 9968.67594274, 1893.81356398)
(-7462.76402798, 9968.67902167, 1893.81356398)
(-7462.70421071, 9968.68193959, 1893.81356398)
(-7462.61427856, 9968.68632665, 1893.81356398)
(-7462.55363622, 9968.68928482, 1893.81356398)
(-7462.49134379, 9968.69232353, 1893.81356398)
(-7462.43070147, 9968.69528167, 1893.81356398)
(-7462.35149521, 9968.69914542, 1893.81356398)
(-7462.28961531, 9968.70216396, 1893.81356398)
(-7462.21082158, 9968.70600768, 1893.81356398)
(-7462.15265445, 9968.70884511, 1893.81356398)
(-7462.08788681, 9968.71200456, 1893.81356398)
(-7462.0301322, 9968.71482185, 1893.81356398)
(-7461.95216349, 9968.71862522, 1893.81356398)
(-7461.89399636, 9968.72146265, 1893.81356398)
(-7461.82799113, 9968.7246825, 1893.81356398)
(-7461.77147413, 9968.72743943, 1893.81356398)
(-7461.69804333, 9968.73102146, 1893.81356398)
(-7461.63451329, 9968.73412046, 1893.81356398)
(-7461.57222087, 9968.73715913, 1893.81356398)
(-7461.50539059, 9968.74041926, 1893.81356398)
(-7461.44021039, 9968.74359879, 1893.81356398)
(-7461.36636703, 9968.74720096, 1893.81356398)
(-7461.31191268, 9968.74985726, 1893.81356398)
(-7461.25044529, 9968.75285569, 1893.81356398)
(-7461.1741267, 9968.75657854, 1893.81356398)
(-7461.07841913, 9968.76124732, 1893.81356398)
(-7461.03097786, 9968.76356155, 1893.81356398)
(-7460.94847135, 9968.76758633, 1893.81356398)
(-7460.87545305, 9968.77114819, 1893.81356398)
(-7460.77768281, 9968.77591754, 1893.81356398)
(-7460.69270105, 9968.78006299, 1893.81356398)
(-7460.57925453, 9968.78559711, 1893.81356398)
(-7460.49633541, 9968.78964197, 1893.81356398)
(-7460.39732755, 9968.79447163, 1893.81356398)
(-7460.29419443, 9968.79950286, 1893.81356398)
(-7460.21622573, 9968.80330622, 1893.81356398)
(-7460.13124401, 9968.80745174, 1893.81356398)
(-7460.05492544, 9968.81117459, 1893.81356398)
(-7459.9662309, 9968.81550124, 1893.81356398)
(-7459.89692536, 9968.818882, 1893.81356398)
(-7459.80946841, 9968.82314827, 1893.81356398)
(-7459.74057542, 9968.82650889, 1893.81356398)
(-7459.67415767, 9968.82974882, 1893.81356398)
(-7459.62589133, 9968.83210327, 1893.81356398)
(-7459.5495728, 9968.83582613, 1893.81356398)
(-7459.46582867, 9968.83991121, 1893.81356398)
(-7459.38827252, 9968.84369444, 1893.81356398)
(-7459.32556753, 9968.84675322, 1893.81356398)
(-7459.26162496, 9968.84987244, 1893.81356398)
(-7459.20345781, 9968.85270987, 1893.81356398)
(-7459.12755177, 9968.85641263, 1893.81356398)
(-7459.06319664, 9968.85955189, 1893.81356398)
(-7458.99925407, 9968.86267104, 1893.81356398)
