(-1220.69873194, -3041.34000055, 208.200771517)
(-1220.63851085, -3041.34015485, 208.200993239)
(-1220.56622129, -3041.34029442, 208.200736071)
(-1220.50757203, -3041.34047564, 208.200724725)
(-1220.42744518, -3041.3406751, 208.200725131)
(-1220.36796997, -3041.34082078, 208.200725311)
(-1220.29114735, -3041.34101303, 208.200725263)
(-1220.23414618, -3041.34122405, 208.200725238)
(-1220.14449523, -3041.34148898, 208.200725274)
(-1220.0754069, -3041.33278624, 208.200725253)
(-1219.98515992, -3041.30086372, 208.200725207)
(-1219.91836818, -3041.26333795, 208.200725146)
(-1219.84083124, -3041.21351678, 208.200725192)
(-1219.7846294, -3041.17664744, 208.200725179)
(-1219.71099824, -3041.1294905, 208.200725179)
(-1219.65547805, -3041.09035402, 208.200725215)
(-1219.58055544, -3041.03405329, 208.200725172)
(-1219.52233919, -3040.98969256, 208.200725245)
(-1219.44557237, -3040.93028886, 208.200725217)
(-1219.388973, -3040.88605292, 208.200725218)
(-1219.33373478, -3040.84275454, 208.200725247)
(-1219.29222413, -3040.81003937, 208.200725246)
(-1219.22228925, -3040.75471664, 208.200725236)
(-1219.17495825, -3040.71738194, 208.200725235)
(-1219.12344054, -3040.67669057, 208.200725233)
(-1219.06936634, -3040.63390959, 208.200725234)
(-1219.02014657, -3040.59355493, 208.200725231)
(-1218.96464641, -3040.54653428, 208.200725275)
(-1218.91862425, -3040.5057083, 208.200725208)
(-1218.87350523, -3040.46398268, 208.200725228)
(-1218.82577701, -3040.41894469, 208.200725217)
(-1218.77930908, -3040.37441627, 208.200725249)
(-1218.73589904, -3040.33259275, 208.200725232)
(-1218.67973911, -3040.27841422, 208.200725236)
(-1218.626728, -3040.22747341, 208.200725236)
(-1218.57103445, -3040.17397038, 208.200725236)
(-1218.51202834, -3040.11734335, 208.200725234)
(-1218.47441719, -3040.08135961, 208.200725233)
(-1218.42092786, -3040.03029622, 208.200725236)
(-1218.37467398, -3039.98603256, 208.200725236)
(-1218.31316921, -3039.92723557, 208.200725235)
(-1218.26452316, -3039.88069729, 208.200725235)
(-1218.20035744, -3039.81931147, 208.200725236)
(-1218.15977084, -3039.78048002, 208.200725235)
(-1218.10217966, -3039.72536923, 208.200725232)
(-1218.05819438, -3039.68295091, 208.200725238)
(-1217.99795288, -3039.62468314, 208.200725234)
(-1217.95123965, -3039.5791525, 208.200725231)
(-1217.88869533, -3039.51790928, 208.200725232)
(-1217.85018285, -3039.4799357, 208.200725231)
(-1217.79943398, -3039.42966619, 208.200725235)
(-1217.75657782, -3039.38726728, 208.200725234)
(-1217.69704169, -3039.32826196, 208.200725234)
(-1217.65535707, -3039.28701077, 208.200725238)
(-1217.59667959, -3039.2288792, 208.200725234)
(-1217.55412726, -3039.18673873, 208.200725244)
(-1217.50017664, -3039.13322498, 208.200725233)
(-1217.45528854, -3039.0887466, 208.200725234)
(-1217.39984739, -3039.03379514, 208.200725246)
(-1217.35701456, -3038.99134933, 208.200725234)
(-1217.31125468, -3038.94599065, 208.200725239)
(-1217.26460986, -3038.89976322, 208.200725235)
(-1217.21063677, -3038.8462635, 208.200725236)
(-1217.15495634, -3038.79097576, 208.200725238)
(-1217.10919129, -3038.74561771, 208.200725238)
(-1217.06661461, -3038.70349346, 208.200725237)
(-1217.02201693, -3038.65930996, 208.200725235)
(-1216.95893884, -3038.59680759, 208.200725234)
(-1216.90911206, -3038.54734717, 208.20072524)
(-1216.84381373, -3038.48240796, 208.200725236)
(-1216.79845178, -3038.43724534, 208.200725236)
(-1216.75078626, -3038.38971676, 208.200725235)
(-1216.70751248, -3038.34655364, 208.200725235)
(-1216.65872291, -3038.29781275, 208.200725235)
(-1216.60991629, -3038.24907926, 208.200725234)
(-1216.55296817, -3038.19213699, 208.200725235)
(-1216.51088142, -3038.15011147, 208.200725236)
(-1216.45242586, -3038.09174599, 208.200725236)
(-1216.3942627, -3038.03367244, 208.200725236)
(-1216.32995922, -3037.96947354, 208.200725237)
(-1216.2715062, -3037.9111067, 208.200725236)
(-1216.21509881, -3037.85478208, 208.200725236)
(-1216.16775072, -3037.80750524, 208.200725236)
(-1216.11104924, -3037.7508907, 208.200725236)
(-1216.0561013, -3037.69602751, 208.200725236)
(-1215.98683002, -3037.62686624, 208.200725236)
(-1215.92925851, -3037.56937193, 208.200725235)
(-1215.86790294, -3037.50806754, 208.200725234)
(-1215.82465838, -3037.46486451, 208.200725235)
(-1215.78377415, -3037.42397874, 208.200725235)
(-1215.73995238, -3037.38018502, 208.200725234)
(-1215.69380469, -3037.3340475, 208.20072524)
(-1215.6290202, -3037.26917228, 208.200725236)
(-1215.58171687, -3037.22184956, 208.200725236)
(-1215.52214983, -3037.16225952, 208.200725235)
(-1215.48623351, -3037.12633088, 208.200725236)
(-1215.43951337, -3037.07959485, 208.200725235)
(-1215.38870425, -3037.02876979, 208.200725236)
(-1215.34052316, -3036.98057378, 208.200725236)
(-1215.2771579, -3036.91718852, 208.200725236)
(-1215.22810027, -3036.86811673, 208.200725236)
(-1215.17875036, -3036.81875317, 208.200725236)
(-1215.13640857, -3036.77639998, 208.200725236)
(-1215.07420943, -3036.71418518, 208.200725236)
(-1215.02427491, -3036.66423807, 208.200725236)
(-1214.96937532, -3036.60932597, 208.200725236)
(-1214.92820094, -3036.56814185, 208.200725236)
(-1214.8803096, -3036.52024017, 208.200725236)
(-1214.83504661, -3036.47496744, 208.200725236)
(-1214.78043761, -3036.420349, 208.200725236)
(-1214.73605034, -3036.37595274, 208.200725236)
(-1214.6723881, -3036.31227987, 208.200725236)
(-1214.62975289, -3036.26963641, 208.200725236)
(-1214.57339143, -3036.21326619, 208.200725236)
(-1214.53280023, -3036.17266743, 208.200725236)
(-1214.482863, -3036.12272232, 208.200725236)
(-1214.44110291, -3036.08095552, 208.200725236)
(-1214.38240145, -3036.02225467, 208.200725237)
(-1214.33538471, -3035.975232, 208.200725236)
(-1214.27464232, -3035.91449076, 208.200725236)
(-1214.22850006, -3035.86834464, 208.200725237)
(-1214.17768478, -3035.81752968, 208.200725237)
(-1214.1405957, -3035.78043813, 208.200725236)
(-1214.0883194, -3035.72816027, 208.200725236)
(-1214.03954787, -3035.67938682, 208.200725237)
(-1213.97208085, -3035.61193049, 208.200725235)
(-1213.92126349, -3035.56111399, 208.200725236)
(-1213.86898442, -3035.50884503, 208.200725237)
(-1213.8318932, -3035.4717558, 208.200725236)
(-1213.77143548, -3035.41130384, 208.200725236)
(-1213.7197412, -3035.359612, 208.200725236)
(-1213.65811557, -3035.29799164, 208.200725236)
(-1213.61197076, -3035.2518487, 208.200725236)
(-1213.56085993, -3035.20074149, 208.200725236)
(-1213.51413099, -3035.15401417, 208.200725236)
(-1213.45659489, -3035.09648134, 208.200725236)
(-1213.39175796, -3035.03164766, 208.200725236)
(-1213.33918819, -3034.97907925, 208.200725236)
(-1213.27668727, -3034.91658181, 208.200725236)
(-1213.22703787, -3034.86693372, 208.200725236)
(-1213.16716566, -3034.80706457, 208.200725236)
(-1213.11956088, -3034.759461, 208.200725236)
(-1213.06231746, -3034.70222022, 208.200725236)
(-1212.99280758, -3034.63271308, 208.200725236)
(-1212.93760472, -3034.57752112, 208.200725235)
(-1212.89321196, -3034.53313101, 208.200725235)
(-1212.83713634, -3034.47705882, 208.200725236)
(-1212.75769306, -3034.39762533, 208.200725236)
(-1212.70658296, -3034.34651787, 208.200725235)
(-1212.63327587, -3034.27321522, 208.200725235)
(-1212.58625474, -3034.22619593, 208.200725235)
(-1212.52462986, -3034.16457483, 208.200725236)
(-1212.4828657, -3034.12281226, 208.200725235)
(-1212.4317553, -3034.0717045, 208.200725235)
(-1212.3791853, -3034.01913622, 208.200725235)
(-1212.31872929, -3033.95868285, 208.200725235)
(-1212.266743, -3033.90669873, 208.200725235)
(-1212.21504888, -3033.85500653, 208.200725235)
(-1212.16598338, -3033.80594278, 208.200725235)
(-1212.10844835, -3033.74840964, 208.200725235)
(-1212.04974421, -3033.68970891, 208.200725235)
(-1212.0015549, -3033.64152125, 208.200725235)
(-1211.94693984, -3033.58690888, 208.200725235)
(-1211.90196336, -3033.54193369, 208.200725235)
(-1211.83800283, -3033.4779757, 208.200725235)
(-1211.77959183, -3033.4195661, 208.200725235)
(-1211.71796764, -3033.35794435, 208.200725235)
(-1211.67094686, -3033.31092468, 208.200725235)
(-1211.62713842, -3033.26711768, 208.200725235)
(-1211.576321, -3033.2163013, 208.200725235)
(-1211.51557337, -3033.15555532, 208.200725235)
(-1211.45687049, -3033.09685347, 208.200725235)
(-1211.38794545, -3033.02793027, 208.200725235)
(-1211.33274727, -3032.97273304, 208.200725235)
(-1211.27404405, -3032.91403137, 208.200725235)
(-1211.2261472, -3032.86613537, 208.200725235)
(-1211.17591376, -3032.81590308, 208.200725235)
(-1211.12276006, -3032.76275013, 208.200725235)
(-1211.05675571, -3032.69674713, 208.200725235)
(-1211.01849669, -3032.65848865, 208.200725235)
(-1210.97673292, -3032.61672559, 208.200725235)
(-1210.93117256, -3032.57116592, 208.200725235)
(-1210.86546025, -3032.50545506, 208.200725235)
(-1210.81259857, -3032.45259413, 208.200725235)
(-1210.76499362, -3032.40499016, 208.200725235)
(-1210.7243982, -3032.36439531, 208.200725235)
(-1210.66248282, -3032.30248086, 208.200725235)
(-1210.61166561, -3032.25166421, 208.200725235)
(-1210.54361708, -3032.18361665, 208.200725235)
(-1210.50477403, -3032.14477398, 208.200725235)
(-1210.45074415, -3032.09074476, 208.200725235)
(-1210.40518393, -3032.04518495, 208.200725235)
(-1210.35378258, -3031.99378413, 208.200725235)
(-1210.28865447, -3031.92865717, 208.200725235)
(-1210.23842137, -3031.87842457, 208.200725235)
(-1210.17241727, -3031.81242141, 208.200725235)
(-1210.13386632, -3031.77387081, 208.200725235)
(-1210.06260525, -3031.70261063, 208.200725235)
(-1210.01674734, -3031.65676257, 208.200725232)
(-1209.94836514, -3031.58846023, 208.200725237)
(-1209.88701888, -3031.52714593, 208.200725234)
(-1209.80756147, -3031.44772741, 208.200725234)
(-1209.75907152, -3031.39925724, 208.200725234)
(-1209.69306037, -3031.33326045, 208.200725234)
(-1209.64398756, -3031.28420318, 208.200725234)
(-1209.58820801, -3031.22842001, 208.200725236)
(-1209.53913943, -3031.17935931, 208.200725234)
(-1209.47576403, -3031.11598385, 208.200725235)
(-1209.4226075, -3031.06283277, 208.200725234)
(-1209.36653462, -3031.00675663, 208.20072523)
(-1209.3233098, -3030.96353398, 208.200725234)
(-1209.26665259, -3030.90687633, 208.200725234)
(-1209.19597556, -3030.8361999, 208.200725234)
(-1209.14895394, -3030.78918034, 208.200725234)
(-1209.08499702, -3030.72521939, 208.200725234)
(-1209.03680819, -3030.67703125, 208.200725234)
(-1208.98424064, -3030.62446085, 208.200725234)
(-1208.94014119, -3030.58036007, 208.200725234)
(-1208.88874028, -3030.5289584, 208.200725234)
(-1208.82100367, -3030.46118688, 208.200725237)
(-1208.77165266, -3030.41182429, 208.200725235)
(-1208.72025878, -3030.36041623, 208.200725234)
(-1208.67411905, -3030.31426672, 208.200725234)
(-1208.61571544, -3030.25584977, 208.200725235)
(-1208.55906254, -3030.19918655, 208.200725235)
(-1208.49569421, -3030.13580493, 208.200725235)
(-1208.4396249, -3030.07972591, 208.200725235)
(-1208.39085696, -3030.03094856, 208.200725235)
(-1208.35172506, -3029.99181036, 208.200725235)
(-1208.29536392, -3029.93543996, 208.200725235)
(-1208.24542664, -3029.88549547, 208.200725235)
(-1208.18556048, -3029.8256204, 208.200725235)
(-1208.12627818, -3029.76632963, 208.200725235)
(-1208.07371252, -3029.71375678, 208.200725235)
(-1208.02903143, -3029.66907006, 208.200725235)
(-1207.9752973, -3029.6153292, 208.200725235)
(-1207.90637754, -3029.5464005, 208.200725235)
(-1207.8564396, -3029.49645674, 208.200725235)
(-1207.7992007, -3029.43921144, 208.200725235)
(-1207.75481124, -3029.39481722, 208.200725235)
(-1207.69260734, -3029.33260715, 208.200725235)
(-1207.64004069, -3029.28003525, 208.200725235)
(-1207.58134081, -3029.22133028, 208.200725235)
(-1207.53578287, -3029.17576814, 208.200725235)
(-1207.47883504, -3029.11881582, 208.200725235)
(-1207.432985, -3029.07296179, 208.200725235)
(-1207.37574498, -3029.01571755, 208.200725235)
(-1207.32200975, -3028.9619778, 208.200725235)
(-1207.26739787, -3028.90736224, 208.200725236)
(-1207.22359195, -3028.86355285, 208.200725235)
(-1207.175113, -3028.81507072, 208.200725236)
(-1207.11203201, -3028.75198547, 208.200725235)
(-1207.04457007, -3028.68451924, 208.200725236)
(-1206.98935578, -3028.62933611, 208.200725232)
(-1206.93882644, -3028.57881669, 208.200725235)
(-1206.86317696, -3028.50318354, 208.200725236)
(-1206.81031291, -3028.45032548, 208.200725235)
(-1206.73846456, -3028.37848444, 208.200725235)
(-1206.69056569, -3028.33059036, 208.200725235)
(-1206.63565747, -3028.27568722, 208.200725235)
(-1206.58863498, -3028.22866915, 208.200725235)
(-1206.53109844, -3028.17113752, 208.200725235)
(-1206.48466014, -3028.12470332, 208.200725235)
(-1206.42332685, -3028.06337484, 208.200725235)
(-1206.37250775, -3028.01256, 208.200725235)
(-1206.31613993, -3027.95619621, 208.200725235)
(-1206.26940981, -3027.90946976, 208.200725235)
(-1206.21888316, -3027.85894656, 208.200725235)
(-1206.16105583, -3027.8011214, 208.200725235)
(-1206.1119896, -3027.75205821, 208.200725235)
(-1206.05912735, -3027.69919821, 208.200725235)
(-1206.01654394, -3027.65380489, 208.200725232)
(-1205.9573705, -3027.58333608, 208.20072534)
(-1205.91615097, -3027.52458838, 208.200725261)
(-1205.87232788, -3027.44734582, 208.200725321)
(-1205.83891799, -3027.39138838, 208.200725308)
(-1205.7958617, -3027.32347116, 208.200725275)
(-1205.76089816, -3027.26644782, 208.200725229)
(-1205.71379042, -3027.18923953, 208.200725229)
(-1205.68379981, -3027.139812, 208.20072524)
(-1205.64914435, -3027.08257577, 208.200725226)
(-1205.61656426, -3027.02889878, 208.200725232)
(-1205.56756309, -3026.94797623, 208.200725235)
(-1205.5320932, -3026.88928749, 208.200725235)
(-1205.48068321, -3026.80402959, 208.200725234)
(-1205.446719, -3026.74782286, 208.200725236)
(-1205.40105909, -3026.6721336, 208.200725235)
(-1205.36860989, -3026.61839037, 208.200725238)
(-1205.3189152, -3026.5359755, 208.200725233)
(-1205.28520089, -3026.48010105, 208.200725235)
(-1205.24274982, -3026.40972021, 208.200725234)
(-1205.20946581, -3026.35455063, 208.200725235)
(-1205.15847842, -3026.27002683, 208.200725234)
(-1205.12370214, -3026.21238186, 208.200725235)
(-1205.07933063, -3026.13881705, 208.200725234)
(-1205.04561933, -3026.0829401, 208.200725236)
(-1205.00337363, -3026.01291854, 208.200725235)
(-1204.97222052, -3025.9612872, 208.200725236)
(-1204.92634234, -3025.88525659, 208.200725236)
(-1204.88226351, -3025.8242682, 208.200725052)
(-1204.81680507, -3025.74984468, 208.200725259)
(-1204.77092829, -3025.69868398, 208.200725291)
(-1204.71770449, -3025.63822742, 208.20072527)
(-1204.68071298, -3025.59648235, 208.200725232)
(-1204.62440179, -3025.53323481, 208.200725247)
(-1204.57359821, -3025.47664398, 208.200725236)
(-1204.51327932, -3025.40977075, 208.200725236)
(-1204.46349366, -3025.35454818, 208.200725236)
(-1204.41421976, -3025.29997978, 208.200725236)
(-1204.36244602, -3025.24266183, 208.200725235)
(-1204.29149748, -3025.16425489, 208.200725236)
(-1204.23804986, -3025.10511441, 208.200725233)
(-1204.17983917, -3025.04081312, 208.200725234)
(-1204.13191036, -3024.98782506, 208.200725236)
(-1204.07507608, -3024.9250626, 208.200725235)
(-1204.02709794, -3024.87211081, 208.200725236)
(-1203.97184898, -3024.81125428, 208.200725234)
(-1203.92154566, -3024.75738136, 208.20072526)
(-1203.86594859, -3024.6994463, 208.200725229)
(-1203.82226173, -3024.65480453, 208.200725224)
(-1203.76393578, -3024.59562512, 208.200725242)
(-1203.71166103, -3024.54219347, 208.200725239)
(-1203.65416669, -3024.48345805, 208.200725237)
(-1203.59607233, -3024.42414985, 208.200725236)
(-1203.54287561, -3024.36987224, 208.200725236)
(-1203.5055764, -3024.3318238, 208.200725233)
(-1203.44334959, -3024.2684631, 208.200725236)
(-1203.39389299, -3024.21804354, 208.200725235)
(-1203.32997412, -3024.15288049, 208.200725236)
(-1203.28485412, -3024.10688413, 208.200725237)
(-1203.22178184, -3024.04262652, 208.200725236)
(-1203.17432829, -3023.99429122, 208.200725235)
(-1203.11698101, -3023.93598098, 208.200725235)
(-1203.07356334, -3023.89178598, 208.20072523)
(-1203.01044568, -3023.82757262, 208.200725238)
(-1202.96589152, -3023.78272023, 208.200725235)
(-1202.90489823, -3023.72158873, 208.200725232)
(-1202.85652973, -3023.67298294, 208.200725234)
(-1202.79938064, -3023.61563153, 208.200725234)
(-1202.75770061, -3023.57378156, 208.200725236)
(-1202.69352914, -3023.50944102, 208.200725236)
(-1202.63112794, -3023.44684246, 208.200725235)
(-1202.57864118, -3023.39418932, 208.200725232)
(-1202.52581954, -3023.34128084, 208.200725235)
(-1202.47536238, -3023.29068933, 208.200725235)
(-1202.42811174, -3023.24331531, 208.200725236)
(-1202.36800539, -3023.18309225, 208.200725235)
(-1202.32366932, -3023.13864626, 208.200725233)
(-1202.25862484, -3023.07343601, 208.200725233)
(-1202.2131259, -3023.02781516, 208.200725238)
(-1202.15570519, -3022.97017301, 208.200725234)
(-1202.10497387, -3022.91927158, 208.200725235)
(-1202.04378913, -3022.85780223, 208.200725232)
(-1201.99481815, -3022.80864319, 208.200725234)
(-1201.93768641, -3022.7512909, 208.200725234)
