(14067.5008127, 14867.7999995, 295.480178028)
(14067.5701164, 14867.8006488, 295.480212749)
(14067.6423732, 14867.8011554, 295.480180776)
(14067.7076152, 14867.8017533, 295.480159786)
(14067.7778176, 14867.8024549, 295.480159541)
(14067.8794098, 14867.8034883, 295.480159458)
(14067.961175, 14867.804445, 295.480159445)
(14068.0714359, 14867.8058113, 295.480159434)
(14068.1523439, 14867.8155563, 295.480159436)
(14068.2473454, 14867.8542416, 295.480159171)
(14068.3037706, 14867.9012006, 295.480159544)
(14068.3691497, 14867.9662168, 295.480159982)
(14068.4229392, 14868.0091567, 295.480159291)
(14068.4882154, 14868.0534053, 295.480159577)
(14068.548594, 14868.0954831, 295.480159476)
(14068.6269375, 14868.1520525, 295.480159463)
(14068.6880387, 14868.1973598, 295.480159455)
(14068.7533089, 14868.2466345, 295.480159427)
(14068.8156761, 14868.2941984, 295.480159447)
(14068.8894522, 14868.350654, 295.480159443)
(14068.9554343, 14868.4004498, 295.480159445)
(14069.0287621, 14868.4556054, 295.480159443)
(14069.0877746, 14868.5046927, 295.480159385)
(14069.1505796, 14868.5618353, 295.480159486)
(14069.1955288, 14868.6119999, 295.480159639)
(14069.2304494, 14868.6703095, 295.480159518)
(14069.2477913, 14868.7573613, 295.480168309)
(14069.2575712, 14868.8353291, 295.480159782)
(14069.2799513, 14868.9174247, 295.480159336)
(14069.2966032, 14868.9742831, 295.480159506)
(14069.3205614, 14869.0587067, 295.480159433)
(14069.3379418, 14869.1333796, 295.480159418)
(14069.3598788, 14869.2309482, 295.480159454)
(14069.3717645, 14869.3015972, 295.480159398)
(14069.3859562, 14869.3852201, 295.480159362)
(14069.3915378, 14869.4501475, 295.4801593)
(14069.3971511, 14869.5447791, 295.480159431)
(14069.4049971, 14869.6241618, 295.480159408)
(14069.416799, 14869.7224023, 295.480159453)
(14069.4210865, 14869.7886665, 295.480159436)
(14069.4258606, 14869.8734137, 295.480159464)
(14069.431754, 14869.9438539, 295.480159457)
(14069.4392486, 14870.0303207, 295.480159437)
(14069.4440588, 14870.0986502, 295.480159439)
(14069.4513564, 14870.2003644, 295.480159442)
(14069.4566534, 14870.2716218, 295.480159442)
(14069.4631084, 14870.3589299, 295.480159492)
(14069.4641459, 14870.4191569, 295.48015936)
(14069.4651538, 14870.4991447, 295.480159442)
(14069.467752, 14870.5784029, 295.480159455)
(14069.472165, 14870.6799671, 295.480159442)
(14069.4737482, 14870.7607874, 295.480159428)
(14069.4761124, 14870.8714081, 295.480159438)
(14069.4780086, 14870.941608, 295.480159443)
(14069.4806814, 14871.0369917, 295.480159442)
(14069.4830303, 14871.1269942, 295.480159435)
(14069.4853008, 14871.219061, 295.480159437)
(14069.4868654, 14871.3069888, 295.480159435)
(14069.4886292, 14871.3990626, 295.480159435)
(14069.4894042, 14871.4630499, 295.480159434)
(14069.4905121, 14871.5480998, 295.480159441)
(14069.4914933, 14871.615413, 295.480159436)
(14069.4928156, 14871.7124576, 295.480159438)
(14069.4938271, 14871.7921575, 295.480159438)
(14069.4952997, 14871.9181098, 295.480159426)
(14069.4948022, 14871.9936032, 295.480159439)
(14069.494503, 14872.0881563, 295.480159454)
(14069.4959701, 14872.1729031, 295.480159449)
(14069.4969371, 14872.2592358, 295.480159443)
(14069.4973231, 14872.3302515, 295.480159425)
(14069.4976782, 14872.4173776, 295.480159436)
(14069.4977373, 14872.4813739, 295.48015943)
(14069.4978484, 14872.5784204, 295.480159441)
(14069.4979923, 14872.6564792, 295.480159437)
(14069.4980621, 14872.7667485, 295.480159438)
(14069.4981387, 14872.8476994, 295.480159435)
(14069.4980485, 14872.9509457, 295.48015944)
(14069.4980556, 14873.0281819, 295.48015944)
(14069.498067, 14873.1347418, 295.48015944)
(14069.4980753, 14873.2161073, 295.48015944)
(14069.4980819, 14873.2912775, 295.48015944)
(14069.4980872, 14873.3482748, 295.48015944)
(14069.4980941, 14873.4296403, 295.48015944)
(14069.4981028, 14873.5258748, 295.48015944)
(14069.4981095, 14873.6225221, 295.480159439)
(14069.4981173, 14873.7195827, 295.480159439)
(14069.4981223, 14873.8261424, 295.480159439)
(14069.4981281, 14873.9182468, 295.480159439)
(14069.4981344, 14874.0037426, 295.480159439)
(14069.4981393, 14874.1082375, 295.480159439)
(14069.4981437, 14874.1796906, 295.480159439)
(14069.4981471, 14874.2940977, 295.480159439)
(14069.4981518, 14874.3952884, 295.48015944)
(14069.4980731, 14874.5373649, 295.480159437)
(14069.4980367, 14874.6678816, 295.48015944)
(14069.497998, 14874.8322648, 295.48015944)
(14069.4979778, 14874.9189998, 295.480159441)
(14069.4979613, 14875.0111045, 295.480159441)
(14069.4979433, 14875.1011434, 295.480159441)
(14069.4979638, 14875.1862279, 295.480159442)
(14069.4979607, 14875.2576802, 295.48015944)
